0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5,1.518,13.667,7.656,10.445,0.726,9.292,6.571,0.937,71.21,0.665,0.239,0.56,0.055,0.055,0.807,0.962,24.038,3.467
4,1.42,10.556,5.28,7.982,0.622,17.158,12.132,0.929,79.993,0.62,0.225,0.633,0.036,0.036,0.792,0.821,71.406,5.975
4,1.366,9.704,4.318,5.77,0.63,10.194,7.208,0.917,56.381,0.653,0.333,0.55,0.035,0.035,0.713,0.719,29.491,3.84
4,1.33,9.207,3.69,6.523,0.528,8.629,6.102,0.886,38.357,0.674,0.361,0.517,0.05,0.05,0.528,0.646,27.138,3.684
4,1.362,9.952,4.364,6.687,0.523,13.099,9.262,0.899,51.794,0.657,0.345,0.442,0.09,0.09,0.636,0.599,50.88,5.044
4,1.436,11.756,5.936,8.031,0.504,11.068,7.827,0.889,44.057,0.637,0.29,0.472,0.094,0.094,0.616,0.629,35.236,4.197
4,1.412,22.091,9.681,9.199,0.547,12.066,8.532,0.903,51.725,0.619,0.243,0.578,0.053,0.053,0.658,0.712,37.041,4.304
4,1.297,12.423,4.562,6.752,0.508,15.805,11.176,0.901,56.686,0.632,0.288,0.508,0.088,0.088,0.642,0.602,63.841,5.65
4,1.308,7.643,2.83,6.298,0.776,8.024,5.674,0.946,76.878,0.673,0.278,0.514,0.069,0.069,0.847,0.75,11.25,2.372
4,1.308,11.286,4.246,5.687,0.624,9.614,6.798,0.914,53.037,0.549,0.392,0.423,0.069,0.069,0.769,0.667,22.667,3.367
4,1.574,11.923,7.635,9.185,0.71,8.835,6.248,0.932,64.426,0.626,0.258,0.67,0.031,0.031,0.845,0.92,21.16,3.253
4,1.464,8.083,4.837,7.748,0.753,7.412,5.241,0.938,64.76,0.711,0.232,0.565,0.072,0.072,0.768,0.813,10.563,2.298
4,1.3,9.912,3.612,6.928,0.576,10.568,7.473,0.905,50.252,0.617,0.337,0.495,0.053,0.053,0.688,0.743,38.629,4.395
4,1.284,6.375,2.051,3.792,0.696,9.942,7.03,0.932,67.791,0.672,0.321,0.511,0.058,0.058,0.788,0.795,27.841,3.731
4,1.343,14.0,5.716,9.189,0.957,8.008,5.663,0.99,403.616,0.729,0.176,0.706,0.039,0.039,1.0,1.0,9.0,2.121
4,1.276,27.636,10.249,7.982,0.572,9.98,7.057,0.902,47.701,0.615,0.358,0.476,0.07,0.07,0.695,0.701,32.97,4.06
4,1.306,6.125,2.211,4.819,0.724,7.172,5.071,0.93,56.38,0.704,0.391,0.478,0.043,0.043,0.725,0.704,13.37,2.586
4,1.363,10.667,4.648,6.767,0.579,12.689,8.972,0.912,57.986,0.656,0.26,0.495,0.092,0.092,0.689,0.634,32.976,4.061
4,1.36,12.588,5.365,6.815,0.561,11.601,8.203,0.905,51.924,0.654,0.314,0.536,0.075,0.075,0.679,0.727,46.545,4.824
