0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4.345,1.353,9.267,3.984,5.253,0.734,8.652,6.118,0.937,69.112,0.669,0.247,0.548,0.065,0.065,0.774,0.739,12.565,2.507,4
4.835,1.414,7.824,4.141,7.394,0.729,8.411,5.947,0.935,66.304,0.669,0.303,0.618,0.034,0.034,0.73,0.741,14.815,2.722,4
4.165,1.267,14.667,5.081,5.421,0.557,7.387,5.223,0.887,35.903,0.608,0.336,0.495,0.056,0.056,0.682,0.722,18.778,3.064,2
4.583,1.382,18.0,7.737,8.131,0.639,7.667,5.421,0.91,45.637,0.632,0.319,0.473,0.088,0.088,0.747,0.759,16.69,2.889,1
4.346,1.334,14.643,5.864,6.431,0.556,11.26,7.962,0.902,50.234,0.588,0.349,0.456,0.12,0.12,0.734,0.738,45.762,4.783,1
4.645,1.329,12.667,5.032,7.781,0.855,7.456,5.272,0.964,111.455,0.711,0.278,0.574,0.019,0.019,0.907,1.0,15.0,2.739,5
5.163,1.382,7.235,3.541,8.916,0.715,7.935,5.611,0.93,59.868,0.74,0.308,0.484,0.143,0.143,0.736,0.714,14.286,2.673,3
5.11,1.581,16.211,9.39,10.89,0.513,9.003,6.366,0.884,38.397,0.643,0.273,0.535,0.045,0.045,0.621,0.574,17.796,2.983,1
5.533,1.8,7.5,8.575,11.129,1.0,3.873,2.739,1.0,73335.359,0.8,0.167,0.667,0.0,0.0,1.0,1.0,2.0,1.0,3
4.554,1.378,14.231,6.225,7.532,0.554,10.657,7.536,0.9,47.984,0.657,0.362,0.416,0.07,0.07,0.638,0.523,24.045,3.467,1
4.856,1.432,14.75,7.063,9.289,0.712,7.733,5.468,0.929,57.764,0.686,0.321,0.481,0.099,0.099,0.765,0.692,12.462,2.496,5
4.585,1.4,18.571,8.173,8.188,0.685,7.806,5.52,0.922,53.175,0.615,0.287,0.525,0.063,0.063,0.8,0.87,17.391,2.949,2
4.866,1.594,19.867,10.967,9.861,0.537,9.269,6.554,0.891,41.416,0.601,0.291,0.458,0.056,0.056,0.654,0.692,24.923,3.53,1
4.838,1.369,10.935,4.826,8.488,0.584,10.754,7.604,0.908,52.007,0.67,0.326,0.511,0.026,0.026,0.678,0.595,26.162,3.617,4
5.042,1.458,8.0,4.738,8.633,0.833,5.774,4.082,0.953,74.636,0.667,0.219,0.594,0.063,0.063,0.938,1.0,7.0,1.871,4
4.855,1.473,8.188,4.988,7.675,0.779,8.912,6.302,0.949,85.485,0.672,0.307,0.58,0.045,0.045,0.83,0.889,21.333,3.266,4
4.504,1.426,20.05,9.061,7.855,0.549,10.986,7.768,0.9,48.458,0.613,0.305,0.541,0.053,0.053,0.691,0.693,36.053,4.246,1
4.671,1.349,9.5,4.029,7.149,0.783,9.652,6.825,0.951,93.317,0.664,0.277,0.535,0.059,0.059,0.881,0.964,26.036,3.608,4
5.19,1.602,13.737,8.665,11.003,0.533,12.168,8.604,0.899,50.266,0.674,0.295,0.5,0.085,0.085,0.682,0.663,45.779,4.784,1
4.605,1.368,12.667,5.497,7.561,0.789,6.882,4.867,0.945,70.916,0.618,0.298,0.596,0.043,0.043,0.851,1.0,14.0,2.646,3
4.885,1.462,8.667,5.036,8.041,0.923,4.707,3.328,0.975,126.183,0.615,0.25,0.688,0.0,0.0,0.938,0.75,2.25,1.061,4
4.483,1.347,13.111,5.423,6.958,0.602,6.536,4.622,0.894,35.768,0.661,0.321,0.526,0.026,0.026,0.692,0.64,10.24,2.263,3
4.378,1.32,14.333,5.573,6.564,0.622,8.159,5.769,0.908,46.001,0.61,0.314,0.533,0.048,0.048,0.752,0.667,14.667,2.708,5
4.841,1.432,11.0,5.595,8.521,0.761,7.142,5.05,0.939,64.844,0.591,0.385,0.481,0.038,0.038,0.846,0.9,16.2,2.846,4
4.775,1.437,9.625,5.123,7.769,0.671,10.198,7.211,0.927,63.751,0.675,0.346,0.455,0.083,0.083,0.763,0.685,25.352,3.56,4
4.585,1.415,10.25,5.1,6.899,0.585,5.301,3.748,0.878,27.984,0.61,0.34,0.4,0.06,0.06,0.7,0.647,7.118,1.886,4
4.324,1.326,18.594,7.309,6.738,0.457,11.151,7.885,0.877,40.146,0.571,0.344,0.418,0.085,0.085,0.624,0.59,40.692,4.511,1
4.418,1.27,8.714,2.8,5.456,0.656,7.243,5.121,0.912,45.503,0.656,0.275,0.563,0.063,0.063,0.762,0.727,11.636,2.412,3
4.393,1.333,11.7,4.706,6.184,0.752,8.136,5.753,0.94,70.379,0.709,0.265,0.53,0.12,0.12,0.783,0.773,13.136,2.563,3
4.403,1.298,9.538,3.451,5.667,0.742,8.262,5.842,0.938,68.499,0.621,0.26,0.584,0.078,0.078,0.779,0.85,14.45,2.688,4
4.764,1.455,14.78,7.349,8.781,0.48,11.821,8.359,0.886,43.877,0.612,0.253,0.563,0.07,0.07,0.601,0.585,32.181,4.011,5
4.571,1.365,11.455,4.985,7.124,0.683,7.661,5.417,0.921,51.949,0.635,0.3,0.6,0.025,0.025,0.825,0.958,22.042,3.32,5
5.157,1.479,17.286,8.608,11.264,0.785,8.636,6.107,0.95,85.724,0.628,0.171,0.684,0.013,0.013,0.895,0.923,11.077,2.353,5
